"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"Cajun Cajun","AU BON PAIN  CO.  INC.","FCI FOOD GROUP"," ",20213,"2012-01-11 11:21:09","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","640   Atlantic AVE","Boston","MA",2110,156474,42.350021,-71.055941,1
"CALIFORNIA PIZZA  KITCHEN","CALIFORNIA PIZZA KITCHEN C/O LICENSING DIV.","CALIFORNIA PIZZA KITCHEN","C/O LICENSING DIV.",21135,"2012-04-03 14:13:31","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","137   Stuart ST","Boston","MA",2116,157342,42.351379,-71.066128,1
"CALIFORNIA PIZZA KITCHEN","  ","CALIFORNIA PIZZA KITCHEN","CO Licensing",19754,"2012-04-03 13:47:18","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-11,"590.003/3-501.16-P1","***","(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding (P)","2022-01-11 12:31:01","Fail","","Tomato soup on cookline temping at 121F.  PIC stated it had come out an hour prior and reheated to 165F before putting soup back on line.","800   Boylston ST","Boston","MA",2199,194357,42.34716,-71.08251,1
"Cambio Latino","CUEVAS FREDY G","Merida","Lucy",494775,"2022-10-25 08:17:15","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-10-20,"590.003(A)/3-201.11-P","***","Compliance with Food Law (P)","2022-10-20 13:23:00","Fail","","Columbian breads bought from Mi Pueblito being sold in store / Discontnue.","984   Saratoga ST","East Boston","MA",2128,122906,42.38694,-71.00707,1
"Camilo Liquors I I I","CHONG ANDREW S","Eric Camilo"," ",33530,"2011-12-12 13:46:01","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-06-13,"590.004/4-204.112-C","*","Temperature Measuring Devices-Functionality  (C)","2022-06-13 15:34:33","Fail","","provide thermometers","7   Edgewater DR","Mattapan","MA",2126,51206,42.266645,-71.09549,1
"Camilo Market","TWO-80 CENTRE STREET LLC","JOSE M. FERNANDEZ PRESIDENT"," ",23557,"2011-12-12 13:16:37","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-07-18,"590.003/3-302.11-C","*","Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C)","2022-07-18 10:57:22","Fail","","Ensure all raw shell eggs out for retail sale are stored underneath any packaged ready to eat foods in the multi door refrigeration units ----------------------------                  Keep all foods elevated off the floors during storage as discussed","280   Centre ST","Jamaica Plain","MA",2130,27954,42.32265,-71.1016,1
"Camilo's Market II","CITY OF BOSTON","Camilo's Market Corp.","Erika Sanchez",513661," "," ","Active","RF","Retail Food","HE_Fail",2022-11-14,"590.003/3-305.11-C","*","Food Storage-Preventing Contamination from the Premises (C)","2022-11-14 10:36:34","Fail","","Discontinue the use of milk crates and soda racks as storage shelving  provide shelving 6 to 8"" or higher.","204   Washington ST","Dorchester","MA",2121,145977,42.30277,-71.07785,1
"CAMINO REAL","AUGUSTO PEREZ","AUGUSTO PEREZ"," ",21193,"2012-02-08 08:41:02","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","46   Harvard AV","Allston","MA",2134,157078,42.354356,-71.132798,1
"Canary Square","H T E INC","JP PARTNERS INC."," ",68719,"2012-02-22 14:56:42","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-05,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-10-05 14:55:09","Fail","","Chef Simon Robinson stated Food Manager Certification (CFPM) expired. Provide and ensure allergen awareness training for staff.","435 S Huntington AVE","Jamaica Plain","MA",2130,76817,42.31979,-71.112,1
"Candy's Cake","EGDAHL DAVID H TS","Candy's Cake and Cafe LLC","Chuntao Kuang",489386,"2022-08-24 12:22:10","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-08-09,"590.004/4-501.14-C","*","Warewashing Equipment  Cleaning Frequency (C)","2022-08-09 14:26:16","Fail","","3 Bay sink with heavy soils- Clean","345  Washington ST","Brighton","MA",2135,143522,42.34926,-71.15298,1
"Cannonball Cafe","","Lazar","Rachel",455718,"2021-11-24 09:54:38","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-29,"590.003/3-302.11-P","***","Packaged and Unpackaged Food-Separation  Packaging  and Segregation (P)","2022-03-29 12:28:18","Fail","","Raw peppered bacon stored next to and over ready to eat foods- PIC removed and placed on the bottom shelf of the ready to eat foods. Discontinue storing raw foods over ready to eat.","383   Dorchester AVE","South Boston","MA",2127,343874,42.335073,-71.057204,1
"CANTINA ITALIANA","FIUMARA PETER J TS","COLELLA","FLORINDO",19123,"2011-12-15 11:06:27","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","344   Hanover ST","Boston","MA",2113,69114,42.36503,-71.05348,1
"CANTON HOUSE","","LI TING LI PRESIDENT"," ",23526,"2012-02-01 15:06:08","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","6  Hancock ST","Dorchester","MA",2125,158300,42.315595,-71.065919,1
"Cape Verde Taste","JOSE ROSA  PRES.","Barros","Ruddmila",447272,"2021-05-14 14:30:15","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-10-18,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-10-18 13:38:54","Fail","","No one on site with a current Food Allergen Certification. Provide.","481   Geneva AVE","Dorchester","MA",2122,156569,42.299318,-71.064788,1
"Cape Verdeon Food  Terra Terra","NGUYEN HUY TS","Muhammad S. Khan"," ",79033,"2012-04-20 11:14:26","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","77  Hancock ST","Dorchester","MA",2125,68950,42.31288,-71.06502,1
"Capital Burger No. 3202","DARTMOUTH PARTNERS LLC","Capital Burger Holdings LLC","Att: Accounts Payable",420913,"2021-03-26 15:17:31","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-25,"590.003(C)/3-301.11-P","***","Preventing Contamination from Hands (P)","2022-04-25 11:51:11","Fail","","Observed employee at the bar handling RTE foods with bare hands including pineapple  lemons and limes- Reviwew glove use procedures","159   Newbury ST","Boston","MA",2116,155098,42.35087,-71.07863,1
"CAPITAL GRILLE","MASSACHUSETTS CONVENTION","Capital Grille Holdings Inc.","Lic. Dept.",74599,"2012-01-31 13:26:10","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-04,"590.003/3-501.16-P","***","(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding (P)","2022-03-04 14:19:51","Fail","","Cocktail sauce in expo cold holding unit at 48F.  Person in charge indicated it had been there since start of lunch service.  Person in charge discared.  Other items in unit were in temperature control.","880  Boylston ST","Boston","MA",2199,18415,42.34753,-71.08411,1
"Capital One Cafe","HENNESSEY NANCY L TS","Compass Group-USA Inc."," ",479008,"2022-10-21 11:14:10","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-10-21,"","",""," ","",""," ","795   Boylston ST","Boston","MA",2116,18400,42.349217,-71.081684,1
"CAPITOL COFFEE HOUSE","MAIONE SEBASTIANO","MAIONE","SEBASTIANO",18939,"2011-12-29 10:53:33","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","122   Bowdoin ST","Boston","MA",2108,158010,42.358885,-71.062751,1
"CAPO RESTAURANT","","Aulenback Owner","Eric",146115,"2016-02-22 08:57:20","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-02,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-02-02 19:05:58","Fail","","Multiple squeeze bottles on cookline have no labels.  Provide.","443 W Broadway ","South Boston","MA",2127,157259,42.336076,-71.047019,1
"CHANDLER INN","BASILE LAWRENCE A","BASILE","LAWRENCE A",18978,"2012-01-24 13:01:45","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","26  Chandler ST","Boston","MA",2116,157381,42.346978,-71.070509,1
"CAPPY'S PIZZA","PSEUDOIKONOMOU NICKOLAOS TS","NICK PSEUDOIKONOMOU"," ",22112,"2012-01-11 14:24:52","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","304   Centre ST","Jamaica Plain","MA",2130,27964,42.32271,-71.10341,1
"CAPPY'S PIZZA & SUBS","","CAPPY'S PIZZA & SUBS"," ",23059,"2012-02-21 14:24:38","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-05,"590.004/4-202.18-C","*","Ventilation Hood Systems  Filters (C)","2022-01-05 12:23:07","Fail","","Hood filters observed soiled with grease build up.Clean to remove soils","82   Westland AVE","Boston","MA",2115,156244,42.343727,-71.089581,1
"CAPTAIN NEMO'S","","HARIKLIA PAVLIDIS"," ",21039,"2011-12-12 08:47:37","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-13,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-01-13 14:10:30","Fail","","No allergen awareness certificate on site - expired food safety certificate - address as discussed","367   Centre ST","Jamaica Plain","MA",2130,156016,42.322472,-71.108578,1
"Caribbean Flavors","BEVERLY SHAW","Darren Straker","Donna Straker",414550,"2020-01-31 08:40:34","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-10,"590.004/4-101.11-C","*","Characteristics-Materials for Construction and Repair (C)","2022-01-10 14:03:15","Fail","","Repair interior of refrigerator  to remove rust.","1210  Blue Hill AVE","Mattapan","MA",2126,157320,42.282979,-71.091349,1
"Caribbean Liquor","","JDUDLEY INC."," ",83840,"2012-11-27 08:44:12","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","527   Dudley ST","Roxbury","MA",2119,158256,42.321959,-71.072631,1
"CARIBBEAN MARKET","LE CHAU","LE","CHAU",22338,"2010-10-13 10:29:41","2009-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","558   Washington ST","Dorchester","MA",2124,157077,42.292127,-71.07152,1
"Caribe Restaurant","OCONNOR BREDA TS","BERNARDA MEJIA","CARIBE REST.",23857,"2012-01-30 09:13:24","2021-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","559   Washington ST","Dorchester","MA",2124,146110,42.292205,-71.071965,1
"CARLOS CUCINA ITALIANA","","Rodriguez","Bryant",394270,"2019-05-15 08:33:17","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-10,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-08-10 11:06:31","Fail","","In the kitchen  keep all wiping cloths in a sanitizing solution when cloths are not in use.","131   Brighton AVE","Allston","MA",2134,155924,42.353088,-71.131159,1
"Carmelina's North End","DIPAOLA CARMELA TS","Di Paola","Damien",29380,"2012-02-15 13:10:51","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","307   Hanover ST","Boston","MA",2113,69105,42.36388,-71.05416,1
"CARNEY HOSPITAL","","Steward Carney Hospital Inc.","Attn: Food & Nutrition Serv.",74470,"2012-02-01 12:29:41","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-25,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-25 10:53:17","Fail","","At the time of the inspection the 2022 Permit had not been paid in full and updated. Address and ensure all necessary fees have been paid for the 2022 Health Permit.","2100   Dorchester AVE","Dorchester","MA",2124,48511,42.278028,-71.066046,1
"Carniceria & Legumbreria 1 A Maket","  ","Guillermo Zapata"," ",123344,"2014-03-10 11:12:11","2015-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","9   Meridian ST","East Boston","MA",2128,274741,42.37049,-71.03878,1
"Carniceria Y Legumbreria 1A Market","  ","Gallego","Claudia",139458,"2015-01-23 09:31:43","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","9   Meridian ST","East Boston","MA",2128,274741,42.37049,-71.03878,1
"Carrie Nation","  ","Jackeens Inc."," ",86539,"2013-06-07 15:02:49","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","11   Beacon ST","Boston","MA",2108,183546,42.35838,-71.06178,1
"CARTER FULLER MENTAL HOSPITAL","FAMER FOOD MANAGEMENT INC .","FAME FOOD MANAGEMENT INC.","Attn Accounts Payable",22207,"2012-01-12 13:40:39","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","85 E Newton ST","Roxbury","MA",2118,157229,42.336387,-71.070969,1
"Casa Blanca","PONTES JOSE H","Ildeberto Pontes"," ",37233,"2012-01-17 10:19:15","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","20   Clifton ST","Roxbury","MA",2119,33997,42.32288,-71.07062,1
"Casa Bonita Mexican Grill","","Food Fiesta Group LLC","Felipe Duran",455790,"2022-04-27 10:29:59","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-13,"590.005/5-501.111-C","*","Area  Enclosures and Receptacles  Good Repair (C)","2022-04-13 10:25:32","Fail","","Provide enclosure for mop sink.","1033   Massachusetts AVE","Roxbury","MA",2118,91941,42.32709,-71.06764,1
"Casa Cana","SKATING CLUB OF BOSTON","Casa Cana Restaurant LLC","Att: Accounts Payable",358545,"2018-08-01 15:46:36","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1234   Soldiers Field RD","Brighton","MA",2134,128292,42.3637,-71.13638,1
"Casa Colombia Rest. Ice Cream & Bakery","RICUPERO JOSEPH M","Rua","Joaquin",90341,"2014-03-12 10:16:22","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","14   William C Kelly SQ","East Boston","MA",2128,151120,42.374584,-71.03871,1
"Casa Razdora","","Casa Razdora Enterprises Inc.","Att: Accounts Payable",391438,"2019-10-10 11:24:41","2021-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","176   Federal ST","Boston","MA",2110,155873,42.353508,-71.055899,1
"CASA ROMERO","THIRTY GLOUCESTER ST","Du Four's","Inc.",25332,"2012-01-24 12:58:19","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-10-21,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-10-21 19:47:40","Fail","","Posted certified food protection managers certificates observed expired. PIC provided a photo of a valid certificate from another staff member.Print & post valid certificate","30   Gloucester ST","Boston","MA",2115,64941,42.349444,-71.084498,1
"Casa Verde","","Doyle","David",154488,"2016-04-20 15:35:41","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-11,"590.003/3-502.11-PF","**","Variance Requirement (Pf)","2022-04-11 13:54:27","Fail","","They have pickles in the fridge that are dated three weeks ago.  If you are extending the life of a product then it is a specialized process and requires approval. (if the pickles are used within a week then it is just a flavor enhancement and does not require approval)  They have a dehydrator on site and are maing lime wedges for drinks.  Check with the office about this is a specialized process.","711   Centre ST","Jamaica Plain","MA",2130,156387,42.311378,-71.114669,1
"Casabe Kitchen","","Carrasquillo","Fausto",394039,"2019-05-14 08:41:28","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","633  Centre ST","Jamaica Plain","MA",2130,344812,42.313746,-71.114645,1
"Casali Market","  ","An Zaman Corp. Inc."," ",129482,"2014-08-11 09:11:32","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-05-09,"590.003/3-701.11-P","***","Discarding or Reconditioning Unsafe  Adulterated  or Contaminated Food (P)","2022-05-09 11:04:28","Fail","","2 Bottles of Naked smoothies with a past expiration date from April 26 2022. Address and ensure all foods are being checked upon arrival and while on the sales shelves for past expiration dates. Bottles were removed at the time of the inspection.","775   Adams ST","Dorchester","MA",2124,161360,42.283379,-71.055952,1
"Casserole Cafe","WINSUM LIMITED PARTNERSHIP","NNK INC."," ",78284,"2012-05-15 09:43:09","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","413  Washington St","Boston","MA",2108,145128,42.355889,-71.060325,1
"Castillo Family Market","VIVIAN VETH  PRES.","Castillo","Nilvo",471532,"2022-05-12 14:34:42","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-11-09,"590.006/6-501.112-C","*","Removing Dead or Trapped Birds  Insects  Rodents and other Pest (C)","2022-11-09 12:22:09","Fail","","remove all cat litter and food in retail area and discontinue having a cat in the retil store.","446   Hyde Park AVE","Roslindale","MA",2131,157062,42.285131,-71.11865,1
"CASTILLO BEER  WINE AND LIQUORS  LLC","DANIELS RICHARD A","Castillo","Carlos R.",136806,"2014-11-19 11:18:20","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","2371   Washington ST","Roxbury","MA",2119,144497,42.32933,-71.08496,1
"Castillo Liquors Inc.","DOKU JOANNA TS","RAFAEL CASTILLO"," ",20196,"2012-01-24 13:39:31","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","228   Meridian ST","East Boston","MA",2128,94410,42.37562,-71.03934,1
"Castle Bar","","CASTLE BAR INC"," ",18413,"2011-12-15 13:49:16","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","575   Washington ST","Brighton","MA",2135,155711,42.35031,-71.16497,1
"Castle Island Brewing Co/Bardo's Bar Pizza","","Castle Islalnd C2H LLC","Adam Romanow",437310,"2021-09-17 14:45:49","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-04,"590.014(B)/SummaryS-P","***","uspension of Permit with Notice (P)","2022-08-04 15:20:15","Fail","","Establishment is operating without a permit inside of Castle Island Brewery by lease without health department approval. Issued next day notice. Apply for permit at 1010 Massachusetts Ave 4th floor health division within 24 hours.","10   Old Colony AVE","South Boston","MA",2127,345314,42.3373,-71.056344,1
"CATHY'S MARKET","ZARRELLA JAMES V TS","Vinh V. Nguyen"," ",80199,"2012-08-01 11:18:51","2015-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","317   Meridian ST","East Boston","MA",2128,94464,42.377599,-71.038994,1
"CAUSEWAY CAFE","BEVERLY-BOSTON LP","kottat","abdeslam",22613,"2012-02-23 13:15:49","2019-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","239   Causeway ST","Boston","MA",2114,26609,42.36611,-71.05943,1
"Cava","BK BOYLSTON LLC","Cava Mezze Grill #060","c/o GFTC  LLC",342005,"2018-01-18 08:10:36","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-15,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-07-15 11:34:01","Fail","","No proof of a full time on site certified food protection manager","1350  Boylston ST","Boston","MA",2215,18095,42.34381,-71.09952,1
"CAVAN CAFE","PARK AVE. GROUP","PARK AVE. GROUP"," ",21997,"2012-01-08 15:02:31","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-08,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-02-08 11:18:06","Fail","","adjust all sinks to wall.","1406   Hyde Park AVE","Hyde Park","MA",2136,156733,42.250633,-71.125728,1
